Descriptor name,Description
GATS6se,geary coefficient of lag 6 weighted by sanderson EN
GATS7se,geary coefficient of lag 7 weighted by sanderson EN
GATS8se,geary coefficient of lag 8 weighted by sanderson EN
GATS1pe,geary coefficient of lag 1 weighted by pauling EN
GATS2pe,geary coefficient of lag 2 weighted by pauling EN
GATS3pe,geary coefficient of lag 3 weighted by pauling EN
GATS4pe,geary coefficient of lag 4 weighted by pauling EN
GATS5pe,geary coefficient of lag 5 weighted by pauling EN
GATS6pe,geary coefficient of lag 6 weighted by pauling EN
GATS7pe,geary coefficient of lag 7 weighted by pauling EN
GATS8pe,geary coefficient of lag 8 weighted by pauling EN
GATS1are,geary coefficient of lag 1 weighted by allred-rocow EN
GATS2are,geary coefficient of lag 2 weighted by allred-rocow EN
GATS3are,geary coefficient of lag 3 weighted by allred-rocow EN
GATS4are,geary coefficient of lag 4 weighted by allred-rocow EN
GATS5are,geary coefficient of lag 5 weighted by allred-rocow EN
GATS6are,geary coefficient of lag 6 weighted by allred-rocow EN
GATS7are,geary coefficient of lag 7 weighted by allred-rocow EN
GATS8are,geary coefficient of lag 8 weighted by allred-rocow EN
GATS1p,geary coefficient of lag 1 weighted by polarizability
GATS2p,geary coefficient of lag 2 weighted by polarizability
GATS3p,geary coefficient of lag 3 weighted by polarizability
GATS4p,geary coefficient of lag 4 weighted by polarizability
GATS5p,geary coefficient of lag 5 weighted by polarizability
GATS6p,geary coefficient of lag 6 weighted by polarizability
GATS7p,geary coefficient of lag 7 weighted by polarizability
GATS8p,geary coefficient of lag 8 weighted by polarizability
GATS1i,geary coefficient of lag 1 weighted by ionization potential
GATS2i,geary coefficient of lag 2 weighted by ionization potential
GATS3i,geary coefficient of lag 3 weighted by ionization potential
GATS4i,geary coefficient of lag 4 weighted by ionization potential
GATS5i,geary coefficient of lag 5 weighted by ionization potential
GATS6i,geary coefficient of lag 6 weighted by ionization potential
GATS7i,geary coefficient of lag 7 weighted by ionization potential
GATS8i,geary coefficient of lag 8 weighted by ionization potential
BCUTc-1h,first heighest eigenvalue of Burden matrix weighted by gasteiger charge
BCUTc-1l,first lowest eigenvalue of Burden matrix weighted by gasteiger charge
BCUTdv-1h,first heighest eigenvalue of Burden matrix weighted by valence electrons
BCUTdv-1l,first lowest eigenvalue of Burden matrix weighted by valence electrons
BCUTd-1h,first heighest eigenvalue of Burden matrix weighted by sigma electrons
BCUTd-1l,first lowest eigenvalue of Burden matrix weighted by sigma electrons
BCUTs-1h,first heighest eigenvalue of Burden matrix weighted by intrinsic state
BCUTs-1l,first lowest eigenvalue of Burden matrix weighted by intrinsic state
BCUTZ-1h,first heighest eigenvalue of Burden matrix weighted by atomic number
BCUTZ-1l,first lowest eigenvalue of Burden matrix weighted by atomic number
BCUTm-1h,first heighest eigenvalue of Burden matrix weighted by mass
BCUTm-1l,first lowest eigenvalue of Burden matrix weighted by mass
BCUTv-1h,first heighest eigenvalue of Burden matrix weighted by vdw volume
BCUTv-1l,first lowest eigenvalue of Burden matrix weighted by vdw volume
BCUTse-1h,first heighest eigenvalue of Burden matrix weighted by sanderson EN
BCUTse-1l,first lowest eigenvalue of Burden matrix weighted by sanderson EN
BCUTpe-1h,first heighest eigenvalue of Burden matrix weighted by pauling EN
BCUTpe-1l,first lowest eigenvalue of Burden matrix weighted by pauling EN
BCUTare-1h,first heighest eigenvalue of Burden matrix weighted by allred-rocow EN
BCUTare-1l,first lowest eigenvalue of Burden matrix weighted by allred-rocow EN
BCUTp-1h,first heighest eigenvalue of Burden matrix weighted by polarizability
BCUTp-1l,first lowest eigenvalue of Burden matrix weighted by polarizability
BCUTi-1h,first heighest eigenvalue of Burden matrix weighted by ionization potential
BCUTi-1l,first lowest eigenvalue of Burden matrix weighted by ionization potential
BalabanJ,Balaban's J index
SpAbs_DzZ,graph energy from Barysz matrix weighted by atomic number
SpMax_DzZ,leading eigenvalue from Barysz matrix weighted by atomic number
SpDiam_DzZ,spectral diamiter from Barysz matrix weighted by atomic number
SpAD_DzZ,spectral absolute diviation from Barysz matrix weighted by atomic number
SpMAD_DzZ,spectral mean absolute diviation from Barysz matrix weighted by atomic number
LogEE_DzZ,Estrada-like index from Barysz matrix weighted by atomic number
SM1_DzZ,spectral moment from Barysz matrix weighted by atomic number
VE1_DzZ,coefficient sum of the last eigenvector from Barysz matrix weighted by atomic number
VE2_DzZ,average coefficient of the last eigenvector from Barysz matrix weighted by atomic number
VE3_DzZ,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by atomic number
VR1_DzZ,Randic-like eigenvector-based index from Barysz matrix weighted by atomic number
VR2_DzZ,normalized Randic-like eigenvector-based index from Barysz matrix weighted by atomic number
VR3_DzZ,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by atomic number
SpAbs_Dzm,graph energy from Barysz matrix weighted by mass
SpMax_Dzm,leading eigenvalue from Barysz matrix weighted by mass
SpDiam_Dzm,spectral diamiter from Barysz matrix weighted by mass
SpAD_Dzm,spectral absolute diviation from Barysz matrix weighted by mass
SpMAD_Dzm,spectral mean absolute diviation from Barysz matrix weighted by mass
LogEE_Dzm,Estrada-like index from Barysz matrix weighted by mass
SM1_Dzm,spectral moment from Barysz matrix weighted by mass
VE1_Dzm,coefficient sum of the last eigenvector from Barysz matrix weighted by mass
VE2_Dzm,average coefficient of the last eigenvector from Barysz matrix weighted by mass
VE3_Dzm,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by mass
VR1_Dzm,Randic-like eigenvector-based index from Barysz matrix weighted by mass
VR2_Dzm,normalized Randic-like eigenvector-based index from Barysz matrix weighted by mass
VR3_Dzm,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by mass
SpAbs_Dzv,graph energy from Barysz matrix weighted by vdw volume
SpMax_Dzv,leading eigenvalue from Barysz matrix weighted by vdw volume
SpDiam_Dzv,spectral diamiter from Barysz matrix weighted by vdw volume
SpAD_Dzv,spectral absolute diviation from Barysz matrix weighted by vdw volume
SpMAD_Dzv,spectral mean absolute diviation from Barysz matrix weighted by vdw volume
LogEE_Dzv,Estrada-like index from Barysz matrix weighted by vdw volume
SM1_Dzv,spectral moment from Barysz matrix weighted by vdw volume
VE1_Dzv,coefficient sum of the last eigenvector from Barysz matrix weighted by vdw volume
VE2_Dzv,average coefficient of the last eigenvector from Barysz matrix weighted by vdw volume
VE3_Dzv,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by vdw volume
VR1_Dzv,Randic-like eigenvector-based index from Barysz matrix weighted by vdw volume
VR2_Dzv,normalized Randic-like eigenvector-based index from Barysz matrix weighted by vdw volume
VR3_Dzv,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by vdw volume
SpAbs_Dzse,graph energy from Barysz matrix weighted by sanderson EN
SpMax_Dzse,leading eigenvalue from Barysz matrix weighted by sanderson EN
SpDiam_Dzse,spectral diamiter from Barysz matrix weighted by sanderson EN
SpAD_Dzse,spectral absolute diviation from Barysz matrix weighted by sanderson EN
SpMAD_Dzse,spectral mean absolute diviation from Barysz matrix weighted by sanderson EN
LogEE_Dzse,Estrada-like index from Barysz matrix weighted by sanderson EN
SM1_Dzse,spectral moment from Barysz matrix weighted by sanderson EN
VE1_Dzse,coefficient sum of the last eigenvector from Barysz matrix weighted by sanderson EN
VE2_Dzse,average coefficient of the last eigenvector from Barysz matrix weighted by sanderson EN
VE3_Dzse,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by sanderson EN
VR1_Dzse,Randic-like eigenvector-based index from Barysz matrix weighted by sanderson EN
VR2_Dzse,normalized Randic-like eigenvector-based index from Barysz matrix weighted by sanderson EN
VR3_Dzse,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by sanderson EN
SpAbs_Dzpe,graph energy from Barysz matrix weighted by pauling EN
SpMax_Dzpe,leading eigenvalue from Barysz matrix weighted by pauling EN
SpDiam_Dzpe,spectral diamiter from Barysz matrix weighted by pauling EN
SpAD_Dzpe,spectral absolute diviation from Barysz matrix weighted by pauling EN
SpMAD_Dzpe,spectral mean absolute diviation from Barysz matrix weighted by pauling EN
LogEE_Dzpe,Estrada-like index from Barysz matrix weighted by pauling EN
SM1_Dzpe,spectral moment from Barysz matrix weighted by pauling EN
VE1_Dzpe,coefficient sum of the last eigenvector from Barysz matrix weighted by pauling EN
VE2_Dzpe,average coefficient of the last eigenvector from Barysz matrix weighted by pauling EN
VE3_Dzpe,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by pauling EN
VR1_Dzpe,Randic-like eigenvector-based index from Barysz matrix weighted by pauling EN
VR2_Dzpe,normalized Randic-like eigenvector-based index from Barysz matrix weighted by pauling EN
VR3_Dzpe,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by pauling EN
SpAbs_Dzare,graph energy from Barysz matrix weighted by allred-rocow EN
SpMax_Dzare,leading eigenvalue from Barysz matrix weighted by allred-rocow EN
SpDiam_Dzare,spectral diamiter from Barysz matrix weighted by allred-rocow EN
SpAD_Dzare,spectral absolute diviation from Barysz matrix weighted by allred-rocow EN
SpMAD_Dzare,spectral mean absolute diviation from Barysz matrix weighted by allred-rocow EN
LogEE_Dzare,Estrada-like index from Barysz matrix weighted by allred-rocow EN
SM1_Dzare,spectral moment from Barysz matrix weighted by allred-rocow EN
VE1_Dzare,coefficient sum of the last eigenvector from Barysz matrix weighted by allred-rocow EN
VE2_Dzare,average coefficient of the last eigenvector from Barysz matrix weighted by allred-rocow EN
VE3_Dzare,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by allred-rocow EN
VR1_Dzare,Randic-like eigenvector-based index from Barysz matrix weighted by allred-rocow EN
VR2_Dzare,normalized Randic-like eigenvector-based index from Barysz matrix weighted by allred-rocow EN
VR3_Dzare,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by allred-rocow EN
SpAbs_Dzp,graph energy from Barysz matrix weighted by polarizability
SpMax_Dzp,leading eigenvalue from Barysz matrix weighted by polarizability
SpDiam_Dzp,spectral diamiter from Barysz matrix weighted by polarizability
SpAD_Dzp,spectral absolute diviation from Barysz matrix weighted by polarizability
SpMAD_Dzp,spectral mean absolute diviation from Barysz matrix weighted by polarizability
LogEE_Dzp,Estrada-like index from Barysz matrix weighted by polarizability
SM1_Dzp,spectral moment from Barysz matrix weighted by polarizability
VE1_Dzp,coefficient sum of the last eigenvector from Barysz matrix weighted by polarizability
VE2_Dzp,average coefficient of the last eigenvector from Barysz matrix weighted by polarizability
VE3_Dzp,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by polarizability
VR1_Dzp,Randic-like eigenvector-based index from Barysz matrix weighted by polarizability
VR2_Dzp,normalized Randic-like eigenvector-based index from Barysz matrix weighted by polarizability
VR3_Dzp,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by polarizability
SpAbs_Dzi,graph energy from Barysz matrix weighted by ionization potential
SpMax_Dzi,leading eigenvalue from Barysz matrix weighted by ionization potential
SpDiam_Dzi,spectral diamiter from Barysz matrix weighted by ionization potential
SpAD_Dzi,spectral absolute diviation from Barysz matrix weighted by ionization potential
SpMAD_Dzi,spectral mean absolute diviation from Barysz matrix weighted by ionization potential
LogEE_Dzi,Estrada-like index from Barysz matrix weighted by ionization potential
SM1_Dzi,spectral moment from Barysz matrix weighted by ionization potential
VE1_Dzi,coefficient sum of the last eigenvector from Barysz matrix weighted by ionization potential
VE2_Dzi,average coefficient of the last eigenvector from Barysz matrix weighted by ionization potential
VE3_Dzi,logarithmic coefficient sum of the last eigenvector from Barysz matrix weighted by ionization potential
VR1_Dzi,Randic-like eigenvector-based index from Barysz matrix weighted by ionization potential
VR2_Dzi,normalized Randic-like eigenvector-based index from Barysz matrix weighted by ionization potential
VR3_Dzi,logarithmic Randic-like eigenvector-based index from Barysz matrix weighted by ionization potential
BertzCT,Bertz CT
nBonds,number of all bonds in non-kekulized structure
nBondsO,number of bonds connecting to heavy atom in non-kekulized structure
nBondsS,number of single bonds in non-kekulized structure
nBondsD,number of double bonds in non-kekulized structure
nBondsT,number of triple bonds in non-kekulized structure
nBondsA,number of aromatic bonds in non-kekulized structure
nBondsM,number of multiple bonds in non-kekulized structure
nBondsKS,number of single bonds in kekulized structure
nBondsKD,number of double bonds in kekulized structure
PNSA1,partial negative surface area (version 1)
PNSA2,partial negative surface area (version 2)
PNSA3,partial negative surface area (version 3)
PNSA4,partial negative surface area (version 4)
PNSA5,partial negative surface area (version 5)
PPSA1,partial positive surface area (version 1)
PPSA2,partial positive surface area (version 2)
PPSA3,partial positive surface area (version 3)
PPSA4,partial positive surface area (version 4)
PPSA5,partial positive surface area (version 5)
DPSA1,difference in charged partial surface area (version 1)
DPSA2,difference in charged partial surface area (version 2)
DPSA3,difference in charged partial surface area (version 3)
DPSA4,difference in charged partial surface area (version 4)
DPSA5,difference in charged partial surface area (version 5)
FNSA1,fractional charged partial negative surface area (version 1)
FNSA2,fractional charged partial negative surface area (version 2)
FNSA3,fractional charged partial negative surface area (version 3)
FNSA4,fractional charged partial negative surface area (version 4)
FNSA5,fractional charged partial negative surface area (version 5)
FPSA1,fractional charged partial positive surface area (version 1)
FPSA2,fractional charged partial positive surface area (version 2)
FPSA3,fractional charged partial positive surface area (version 3)
FPSA4,fractional charged partial positive surface area (version 4)
FPSA5,fractional charged partial positive surface area (version 5)
WNSA1,surface weighted charged partial negative surface area (version 1)
WNSA2,surface weighted charged partial negative surface area (version 2)
WNSA3,surface weighted charged partial negative surface area (version 3)
WNSA4,surface weighted charged partial negative surface area (version 4)
WNSA5,surface weighted charged partial negative surface area (version 5)
WPSA1,surface weighted charged partial positive surface area (version 1)
WPSA2,surface weighted charged partial positive surface area (version 2)
WPSA3,surface weighted charged partial positive surface area (version 3)
WPSA4,surface weighted charged partial positive surface area (version 4)
WPSA5,surface weighted charged partial positive surface area (version 5)
RNCG,relative negative charge
RPCG,relative positive charge
RNCS,relative negative charge surface area
RPCS,relative positive charge surface area
TASA,total hydrophobic surface area
TPSA,total polar surface area
RASA,relative hydrophobic surface area
RPSA,relative polar surface area
C1SP1,SP carbon bound to 1 other carbon
C2SP1,SP carbon bound to 2 other carbons
C1SP2,SP2 carbon bound to 1 other carbon
C2SP2,SP2 carbon bound to 2 other carbons
C3SP2,SP2 carbon bound to 3 other carbons
C1SP3,SP3 carbon bound to 1 other carbon
C2SP3,SP3 carbon bound to 2 other carbons
C3SP3,SP3 carbon bound to 3 other carbons
C4SP3,SP3 carbon bound to 4 other carbons
HybRatio,hybridization ratio
FCSP3,the fraction of C atoms that are SP3 hybridized
Xch-3d,3-ordered Chi chain weighted by sigma electrons
Xch-4d,4-ordered Chi chain weighted by sigma electrons
Xch-5d,5-ordered Chi chain weighted by sigma electrons
Xch-6d,6-ordered Chi chain weighted by sigma electrons
Xch-7d,7-ordered Chi chain weighted by sigma electrons
Xch-3dv,3-ordered Chi chain weighted by valence electrons
Xch-4dv,4-ordered Chi chain weighted by valence electrons
Xch-5dv,5-ordered Chi chain weighted by valence electrons
Xch-6dv,6-ordered Chi chain weighted by valence electrons
Xch-7dv,7-ordered Chi chain weighted by valence electrons
Xc-3d,3-ordered Chi cluster weighted by sigma electrons
Xc-4d,4-ordered Chi cluster weighted by sigma electrons
Xc-5d,5-ordered Chi cluster weighted by sigma electrons
Xc-6d,6-ordered Chi cluster weighted by sigma electrons
Xc-3dv,3-ordered Chi cluster weighted by valence electrons
Xc-4dv,4-ordered Chi cluster weighted by valence electrons
Xc-5dv,5-ordered Chi cluster weighted by valence electrons
Xc-6dv,6-ordered Chi cluster weighted by valence electrons
Xpc-4d,4-ordered Chi path-cluster weighted by sigma electrons
Xpc-5d,5-ordered Chi path-cluster weighted by sigma electrons
Xpc-6d,6-ordered Chi path-cluster weighted by sigma electrons
Xpc-4dv,4-ordered Chi path-cluster weighted by valence electrons
Xpc-5dv,5-ordered Chi path-cluster weighted by valence electrons
Xpc-6dv,6-ordered Chi path-cluster weighted by valence electrons
Xp-0d,0-ordered Chi path weighted by sigma electrons
Xp-1d,1-ordered Chi path weighted by sigma electrons
Xp-2d,2-ordered Chi path weighted by sigma electrons
Xp-3d,3-ordered Chi path weighted by sigma electrons
Xp-4d,4-ordered Chi path weighted by sigma electrons
Xp-5d,5-ordered Chi path weighted by sigma electrons
Xp-6d,6-ordered Chi path weighted by sigma electrons
Xp-7d,7-ordered Chi path weighted by sigma electrons
AXp-0d,0-ordered averaged Chi path weighted by sigma electrons
AXp-1d,1-ordered averaged Chi path weighted by sigma electrons
AXp-2d,2-ordered averaged Chi path weighted by sigma electrons
AXp-3d,3-ordered averaged Chi path weighted by sigma electrons
AXp-4d,4-ordered averaged Chi path weighted by sigma electrons
AXp-5d,5-ordered averaged Chi path weighted by sigma electrons
AXp-6d,6-ordered averaged Chi path weighted by sigma electrons
AXp-7d,7-ordered averaged Chi path weighted by sigma electrons
Xp-0dv,0-ordered Chi path weighted by valence electrons
Xp-1dv,1-ordered Chi path weighted by valence electrons
Xp-2dv,2-ordered Chi path weighted by valence electrons
Xp-3dv,3-ordered Chi path weighted by valence electrons
Xp-4dv,4-ordered Chi path weighted by valence electrons
Xp-5dv,5-ordered Chi path weighted by valence electrons
Xp-6dv,6-ordered Chi path weighted by valence electrons
Xp-7dv,7-ordered Chi path weighted by valence electrons
AXp-0dv,0-ordered averaged Chi path weighted by valence electrons
AXp-1dv,1-ordered averaged Chi path weighted by valence electrons
AXp-2dv,2-ordered averaged Chi path weighted by valence electrons
AXp-3dv,3-ordered averaged Chi path weighted by valence electrons
AXp-4dv,4-ordered averaged Chi path weighted by valence electrons
AXp-5dv,5-ordered averaged Chi path weighted by valence electrons
AXp-6dv,6-ordered averaged Chi path weighted by valence electrons
AXp-7dv,7-ordered averaged Chi path weighted by valence electrons
SZ,sum of constitutional weighted by atomic number
Sm,sum of constitutional weighted by mass
Sv,sum of constitutional weighted by vdw volume
Sse,sum of constitutional weighted by sanderson EN
Spe,sum of constitutional weighted by pauling EN
Sare,sum of constitutional weighted by allred-rocow EN
Sp,sum of constitutional weighted by polarizability
Si,sum of constitutional weighted by ionization potential
MZ,mean of constitutional weighted by atomic number
Mm,mean of constitutional weighted by mass
Mv,mean of constitutional weighted by vdw volume
Mse,mean of constitutional weighted by sanderson EN
Mpe,mean of constitutional weighted by pauling EN
Mare,mean of constitutional weighted by allred-rocow EN
Mp,mean of constitutional weighted by polarizability
Mi,mean of constitutional weighted by ionization potential
SpAbs_Dt,graph energy from detourn matrix
SpMax_Dt,leading eigenvalue from detourn matrix
SpDiam_Dt,spectral diamiter from detourn matrix
SpAD_Dt,spectral absolute diviation from detourn matrix
SpMAD_Dt,spectral mean absolute diviation from detourn matrix
LogEE_Dt,Estrada-like index from detourn matrix
SM1_Dt,spectral moment from detourn matrix
VE1_Dt,coefficient sum of the last eigenvector from detourn matrix
VE2_Dt,average coefficient of the last eigenvector from detourn matrix
VE3_Dt,logarithmic coefficient sum of the last eigenvector from detourn matrix
VR1_Dt,Randic-like eigenvector-based index from detourn matrix
VR2_Dt,normalized Randic-like eigenvector-based index from detourn matrix
VR3_Dt,logarithmic Randic-like eigenvector-based index from detourn matrix
DetourIndex,detour index
SpAbs_D,graph energy from distance matrix
SpMax_D,leading eigenvalue from distance matrix
SpDiam_D,spectral diamiter from distance matrix
SpAD_D,spectral absolute diviation from distance matrix
SpMAD_D,spectral mean absolute diviation from distance matrix
LogEE_D,Estrada-like index from distance matrix
VE1_D,coefficient sum of the last eigenvector from distance matrix
VE2_D,average coefficient of the last eigenvector from distance matrix
VE3_D,logarithmic coefficient sum of the last eigenvector from distance matrix
VR1_D,Randic-like eigenvector-based index from distance matrix
VR2_D,normalized Randic-like eigenvector-based index from distance matrix
VR3_D,logarithmic Randic-like eigenvector-based index from distance matrix
NsLi,number of sLi
NssBe,number of ssBe
NssssBe,number of ssssBe
NssBH,number of ssBH
NsssB,number of sssB
NssssB,number of ssssB
NsCH3,number of sCH3
NdCH2,number of dCH2
NssCH2,number of ssCH2
NtCH,number of tCH
NdsCH,number of dsCH
NaaCH,number of aaCH
NsssCH,number of sssCH
NddC,number of ddC
NtsC,number of tsC
NdssC,number of dssC
NaasC,number of aasC
NaaaC,number of aaaC
NssssC,number of ssssC
NsNH3,number of sNH3
NsNH2,number of sNH2
NssNH2,number of ssNH2
NdNH,number of dNH
NssNH,number of ssNH
NaaNH,number of aaNH
NtN,number of tN
NsssNH,number of sssNH
NdsN,number of dsN
NaaN,number of aaN
NsssN,number of sssN
NddsN,number of ddsN
NaasN,number of aasN
NssssN,number of ssssN
NsOH,number of sOH
NdO,number of dO
NssO,number of ssO
NaaO,number of aaO
NsF,number of sF
NsSiH3,number of sSiH3
NssSiH2,number of ssSiH2
NsssSiH,number of sssSiH
NssssSi,number of ssssSi
NsPH2,number of sPH2
NssPH,number of ssPH
NsssP,number of sssP
NdsssP,number of dsssP
NsssssP,number of sssssP
NsSH,number of sSH
NdS,number of dS
NssS,number of ssS
NaaS,number of aaS
NdssS,number of dssS
NddssS,number of ddssS
NsCl,number of sCl
NsGeH3,number of sGeH3
NssGeH2,number of ssGeH2
NsssGeH,number of sssGeH
NssssGe,number of ssssGe
NsAsH2,number of sAsH2
NssAsH,number of ssAsH
NsssAs,number of sssAs
NsssdAs,number of sssdAs
NsssssAs,number of sssssAs
NsSeH,number of sSeH
NdSe,number of dSe
NssSe,number of ssSe
NaaSe,number of aaSe
NdssSe,number of dssSe
NddssSe,number of ddssSe
NsBr,number of sBr
NsSnH3,number of sSnH3
NssSnH2,number of ssSnH2
NsssSnH,number of sssSnH
NssssSn,number of ssssSn
NsI,number of sI
NsPbH3,number of sPbH3
NssPbH2,number of ssPbH2
NsssPbH,number of sssPbH
NssssPb,number of ssssPb
SsLi,sum of sLi
SssBe,sum of ssBe
SssssBe,sum of ssssBe
SssBH,sum of ssBH
SsssB,sum of sssB
SssssB,sum of ssssB
SsCH3,sum of sCH3
SdCH2,sum of dCH2
SssCH2,sum of ssCH2
StCH,sum of tCH
SdsCH,sum of dsCH
SaaCH,sum of aaCH
SsssCH,sum of sssCH
SddC,sum of ddC
StsC,sum of tsC
SdssC,sum of dssC
SaasC,sum of aasC
SaaaC,sum of aaaC
SssssC,sum of ssssC
SsNH3,sum of sNH3
SsNH2,sum of sNH2
SssNH2,sum of ssNH2
SdNH,sum of dNH
SssNH,sum of ssNH
SaaNH,sum of aaNH
StN,sum of tN
SsssNH,sum of sssNH
SdsN,sum of dsN
SaaN,sum of aaN
SsssN,sum of sssN
SddsN,sum of ddsN
SaasN,sum of aasN
SssssN,sum of ssssN
SsOH,sum of sOH
SdO,sum of dO
SssO,sum of ssO
SaaO,sum of aaO
SsF,sum of sF
SsSiH3,sum of sSiH3
SssSiH2,sum of ssSiH2
SsssSiH,sum of sssSiH
SssssSi,sum of ssssSi
SsPH2,sum of sPH2
SssPH,sum of ssPH
SsssP,sum of sssP
SdsssP,sum of dsssP
SsssssP,sum of sssssP
SsSH,sum of sSH
SdS,sum of dS
SssS,sum of ssS
SaaS,sum of aaS
SdssS,sum of dssS
SddssS,sum of ddssS
SsCl,sum of sCl
SsGeH3,sum of sGeH3
SssGeH2,sum of ssGeH2
SsssGeH,sum of sssGeH
SssssGe,sum of ssssGe
SsAsH2,sum of sAsH2
SssAsH,sum of ssAsH
SsssAs,sum of sssAs
SsssdAs,sum of sssdAs
SsssssAs,sum of sssssAs
SsSeH,sum of sSeH
SdSe,sum of dSe
SssSe,sum of ssSe
SaaSe,sum of aaSe
SdssSe,sum of dssSe
SddssSe,sum of ddssSe
SsBr,sum of sBr
SsSnH3,sum of sSnH3
SssSnH2,sum of ssSnH2
SsssSnH,sum of sssSnH
SssssSn,sum of ssssSn
SsI,sum of sI
SsPbH3,sum of sPbH3
SssPbH2,sum of ssPbH2
SsssPbH,sum of sssPbH
SssssPb,sum of ssssPb
MAXsLi,max of sLi
MAXssBe,max of ssBe
MAXssssBe,max of ssssBe
MAXssBH,max of ssBH
MAXsssB,max of sssB
MAXssssB,max of ssssB
MAXsCH3,max of sCH3
MAXdCH2,max of dCH2
MAXssCH2,max of ssCH2
MAXtCH,max of tCH
MAXdsCH,max of dsCH
MAXaaCH,max of aaCH
MAXsssCH,max of sssCH
MAXddC,max of ddC
MAXtsC,max of tsC
MAXdssC,max of dssC
MAXaasC,max of aasC
MAXaaaC,max of aaaC
MAXssssC,max of ssssC
MAXsNH3,max of sNH3
MAXsNH2,max of sNH2
MAXssNH2,max of ssNH2
MAXdNH,max of dNH
MAXssNH,max of ssNH
MAXaaNH,max of aaNH
MAXtN,max of tN
MAXsssNH,max of sssNH
MAXdsN,max of dsN
MAXaaN,max of aaN
MAXsssN,max of sssN
MAXddsN,max of ddsN
MAXaasN,max of aasN
MAXssssN,max of ssssN
MAXsOH,max of sOH
MAXdO,max of dO
MAXssO,max of ssO
MAXaaO,max of aaO
MAXsF,max of sF
MAXsSiH3,max of sSiH3
MAXssSiH2,max of ssSiH2
MAXsssSiH,max of sssSiH
MAXssssSi,max of ssssSi
MAXsPH2,max of sPH2
MAXssPH,max of ssPH
MAXsssP,max of sssP
MAXdsssP,max of dsssP
MAXsssssP,max of sssssP
MAXsSH,max of sSH
MAXdS,max of dS
MAXssS,max of ssS
MAXaaS,max of aaS
MAXdssS,max of dssS
MAXddssS,max of ddssS
MAXsCl,max of sCl
MAXsGeH3,max of sGeH3
MAXssGeH2,max of ssGeH2
MAXsssGeH,max of sssGeH
MAXssssGe,max of ssssGe
MAXsAsH2,max of sAsH2
MAXssAsH,max of ssAsH
MAXsssAs,max of sssAs
MAXsssdAs,max of sssdAs
MAXsssssAs,max of sssssAs
MAXsSeH,max of sSeH
MAXdSe,max of dSe
MAXssSe,max of ssSe
MAXaaSe,max of aaSe
MAXdssSe,max of dssSe
MAXddssSe,max of ddssSe
MAXsBr,max of sBr
MAXsSnH3,max of sSnH3
MAXssSnH2,max of ssSnH2
MAXsssSnH,max of sssSnH
MAXssssSn,max of ssssSn
MAXsI,max of sI
MAXsPbH3,max of sPbH3
MAXssPbH2,max of ssPbH2
MAXsssPbH,max of sssPbH
MAXssssPb,max of ssssPb
MINsLi,min of sLi
MINssBe,min of ssBe
MINssssBe,min of ssssBe
MINssBH,min of ssBH
MINsssB,min of sssB
MINssssB,min of ssssB
MINsCH3,min of sCH3
MINdCH2,min of dCH2
MINssCH2,min of ssCH2
MINtCH,min of tCH
MINdsCH,min of dsCH
MINaaCH,min of aaCH
MINsssCH,min of sssCH
MINddC,min of ddC
MINtsC,min of tsC
MINdssC,min of dssC
MINaasC,min of aasC
MINaaaC,min of aaaC
MINssssC,min of ssssC
MINsNH3,min of sNH3
MINsNH2,min of sNH2
MINssNH2,min of ssNH2
MINdNH,min of dNH
MINssNH,min of ssNH
MINaaNH,min of aaNH
MINtN,min of tN
MINsssNH,min of sssNH
MINdsN,min of dsN
MINaaN,min of aaN
MINsssN,min of sssN
MINddsN,min of ddsN
MINaasN,min of aasN
MINssssN,min of ssssN
MINsOH,min of sOH
MINdO,min of dO
MINssO,min of ssO
MINaaO,min of aaO
MINsF,min of sF
MINsSiH3,min of sSiH3
MINssSiH2,min of ssSiH2
MINsssSiH,min of sssSiH
MINssssSi,min of ssssSi
MINsPH2,min of sPH2
MINssPH,min of ssPH
MINsssP,min of sssP
MINdsssP,min of dsssP
MINsssssP,min of sssssP
MINsSH,min of sSH
MINdS,min of dS
MINssS,min of ssS
MINaaS,min of aaS
MINdssS,min of dssS
MINddssS,min of ddssS
MINsCl,min of sCl
MINsGeH3,min of sGeH3
MINssGeH2,min of ssGeH2
MINsssGeH,min of sssGeH
MINssssGe,min of ssssGe
MINsAsH2,min of sAsH2
MINssAsH,min of ssAsH
MINsssAs,min of sssAs
MINsssdAs,min of sssdAs
MINsssssAs,min of sssssAs
